Sample ID,Penicillium,Saccharomyces,Kregervanrija,Aspergillus,Hanseniaspora,Brettanomyces,Cladosporium,Debaryomyces ,Tilletiopsis,Rhodotorula,Metschnikowia,Aureobasidium ,Hyphodontia,Debaryomycetaceae Family,Cystofilobasidium,Ramularia,Vishniacozyma,Didymosphaeria,Naganishia,Sistotrema,Lanchancea,Leucosporidiaceae Family,Sporobolomyces,Alternaria,Torulaspora,Saccharomycetaceae Family,Pichia
OBYR19,765,2207,0,3600,722,443,156,0,0,22,0,101,0,0,0,0,144,0,0,0,0,0,0,0,0,28,0
Sum total,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188,8188
Percent,9.342940889,26.95407914,0,43.96678065,8.81778212,5.410356619,1.905227162,0,0,0.268685882,0,1.233512457,0,0,0,0,1.758671226,0,0,0,0,0,0,0,0,0.34196385,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fungal genera 2020 Vintage,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Penicillium,Saccharomyces,Kregervanrija,Aspergillus,Hanseniaspora,Brettanomyces,Cladosporium,Debaryomyces ,Tilletiopsis,Rhodotorula,Metschnikowia,Aureobasidium ,Hyphodontia,Debaryomycetaceae Family,Cystofilobasidium,Ramularia,Vishniacozyma,Didymosphaeria,Naganishia,Sistotrema,Lanchancea,Leucosporidiaceae Family,Sporobolomyces,Alternaria,Torulaspora,Saccharomycetaceae Family,Pichia
OBYR20Af,0,665,0,26,2417,568,0,0,0,0,0,100,0,0,0,0,117,0,0,0,54,0,51,0,0,0,0
Sum total,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998
Percent,0,16.63331666,0,0.650325163,60.45522761,14.20710355,0,0,0,0,0,2.501250625,0,0,0,0,2.926463232,0,0,0,1.350675338,0,1.275637819,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR20Bf,0,1602,764,0,416,334,0,0,0,0,326,123,246,0,171,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982
Percent,0,40.23103968,19.18633852,0,10.44701155,8.387744852,0,0,0,0,8.186840784,3.08890005,6.1778001,0,4.29432446,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR20Cf,0,814,0,0,973,787,99,0,0,0,182,174,0,0,0,149,149,16,0,0,0,0,0,0,0,0,0
Sum total,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,3343
Percent,0,24.34938678,0,0,29.10559378,23.54172899,2.961411905,0,0,0,5.444211786,5.204905773,0,0,0,4.457074484,4.457074484,0.478612025,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR20Df,290,1663,0,0,810,325,19,0,176,0,215,97,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672
Percent,7.897603486,45.28867102,0,0,22.05882353,8.850762527,0.517429194,0,4.793028322,0,5.855119826,2.6416122,0,2.096949891,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fungal genera 2021 Vintage,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Penicillium,Saccharomyces,Kregervanrija,Aspergillus,Hanseniaspora,Brettanomyces,Cladosporium,Debaryomyces ,Tilletiopsis,Rhodotorula,Metschnikowia,Aureobasidium ,Hyphodontia,Debaryomycetaceae Family,Cystofilobasidium,Ramularia,Vishniacozyma,Didymosphaeria,Naganishia,Sistotrema,Lanchancea,Leucosporidiaceae Family,Sporobolomyces,Alternaria,Torulaspora,Saccharomycetaceae Family,Pichia
OBYR21Af,6411,1485,34,2464,253,235,893,0,0,295,160,79,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Sum total,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341,12341
Percent,51.94878859,12.03306053,0.275504416,19.9659671,2.050076979,1.9042217,7.23604246,0,0,2.390405964,1.29649137,0.640142614,0,0,0,0,0,0,0,0,0,0,0,0.259298274,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR21Bf,2272,1184,0,18,0,61,0,0,0,509,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267,4267
Percent,53.24584017,27.7478322,0,0.421842044,0,1.429575814,0,0,0,11.92875557,0,0,0,5.226154207,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR21Cf,699,2828,0,219,204,685,106,0,522,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333
Percent,13.10706919,53.02831427,0,4.106506657,3.825239077,12.84455278,1.987624227,0,9.788111757,0,0.750046878,0.562535158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fungal genera 2022 Vintage,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Penicillium,Saccharomyces,Kregervanrija,Aspergillus,Hanseniaspora,Brettanomyces,Cladosporium,Debaryomyces ,Tilletiopsis,Rhodotorula,Metschnikowia,Aureobasidium ,Hyphodontia,Debaryomycetaceae Family,Cystofilobasidium,Ramularia,Vishniacozyma,Didymosphaeria,Naganishia,Sistotrema,Lanchancea,Leucosporidiaceae Family,Sporobolomyces,Alternaria,Torulaspora,Saccharomycetaceae Family,Pichia
NBFM12Af,3614,902,1892,0,0,602,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016
Percent,51.51083238,12.85632839,26.96693273,0,0,8.580387685,0,0,0.085518814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBFM12Bf,5616,1773,4433,0,12,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769
Percent,43.98151774,13.8851907,34.71689247,0,0.093977602,7.32242149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
