Percent,97.54378112,0.643428635,0.083925474,0,0.095115537,0.335701897,0,0,0,1.063056006,0,0,0.055950316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039165221,0,0,0,0,0,0,0,0,0,0,0,0,0.03357019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106305601,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bacterial genera 2020 Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Pediococcus,Enterobacteriaceae Family,Rhodococcus,Klebsiella,Komagataeibacter,Acetobacter,Ammoniphilus,Gluconobacter,Paenibacillus,Yersinia,Bacillus,Solirubrobacteraceae Family,Brevundimonas,Enterococcus,Xanthobacteraceae Family,Pedobacter,Anoxybacillus,Rhizobium,Bosea,Aureimonas,Actinotignum,Pirellulaceae Family,Devosiaceae Family,Aeromicrobium,Sandaracinus,Geobacillus,Bradyrhizobium,Variovorax,Phyllobacterium,Brevibacillus,Lautropia,Curtobacterium,Staphylococcus,Shinella,Pseudomonas,Weissella,Orbaceae Family,Blastococcus,Brevibacterium,Micrococcus,Pseudorhodoplanes,Lactococcus,Pantoea,Burkholderiaceae Family,Streptococcus,Acinetobacter,Nocardioides,Mesorhizobium,Lawsonella,Methylobacterium,Chungangia,Bacillaceae Family,Lactobacillus,Prosthecobacter,Dokdonella,Moheibacter,Pseudoxanthomonas,Sphingomonas,Peredibacter,Cloacibacterium,Bifidobacterium,Anaerococcus,Tepidimonas,Sphingobacterium,Tatumella,Pseudochrobactrum,Acetobacteraceae Family,Listeria,Wolbachia,Cutibacterium,Ornithinimicrobium,Aquabacterium,Lachnoclostridium_5,NS9_marine_group Family,Rhodopseudomonas,Verticia,Luteibacter
OBYR20Ab,376,0,1479,0,0,0,1909,0,0,0,0,1127,48,0,850,0,356,0,0,0,0,0,0,497,0,0,222,0,465,0,0,309,0,0,152,284,0,147,0,0,235,0,0,202,202,64,95,193,183,0,0,0,0,0,0,0,0,0,0,121,0,87,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Sum total,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611
Percent,3.912183956,0,15.38861721,0,0,0,19.86265737,0,0,0,0,11.72614712,0.499427739,0,8.844032879,0,3.704089065,0,0,0,0,0,0,5.171158048,0,0,2.309853293,0,4.838206222,0,0,3.21506607,0,0,1.581521174,2.954947456,0,1.529497451,0,0,2.445114972,0,0,2.101758402,2.101758402,0.665903652,0.988450734,2.008115701,1.904068255,0,0,0,0,0,0,0,0,0,0,1.258974092,0,0.905212777,0,0,0,0,0,0,0,0.083237957,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR20Bb,1700,0,3900,411,0,0,942,0,0,0,0,101,1125,0,0,0,0,0,359,0,0,0,0,0,0,0,475,0,0,0,0,346,0,331,504,0,0,249,0,0,0,216,203,0,0,202,37,0,0,350,0,0,90,144,140,0,0,182,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131,12131
Percent,14.01368395,0,32.14903965,3.388014179,0,0,7.765229577,0,0,0,0,0.832577694,9.273761438,0,0,0,0,0,2.959360317,0,0,0,0,0,0,0,3.915588163,0,0,0,0,2.852196851,0,2.728546699,4.154645124,0,0,2.052592532,0,0,0,1.780562196,1.673398731,0,0,1.665155387,0.30500371,0,0,2.885170225,0,0,0.741900915,1.187041464,1.15406809,0,0,1.500288517,1.022174594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR20Cb,260,0,1032,0,0,0,557,0,1182,0,0,0,0,972,0,957,789,0,338,691,0,598,594,0,0,479,0,0,0,88,409,0,101,0,0,0,0,0,0,0,0,0,97,0,0,0,200,0,0,0,178,161,132,0,0,140,136,0,47,0,89,0,71,55,52,29,0,0,0,0,0,0,0,0,0,0,0
Sum total,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434,10434
Percent,2.491853556,0,9.890741806,0,0,0,5.33831704,0,11.32834963,0,0,0,0,9.315698677,0,9.171937895,7.561817136,0,3.239409622,6.622580027,0,5.731263178,5.69292697,0,0,4.590760974,0,0,0,0.843396588,3.919877324,0,0.967989266,0,0,0,0,0,0,0,0,0,0.929653057,0,0,0,1.916810427,0,0,0,1.70596128,1.543032394,1.265094882,0,0,1.341767299,1.303431091,0,0.45045045,0,0.85298064,0,0.680467702,0.527122868,0.498370711,0.277937512,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR20Db,0,0,710,0,0,0,0,0,227,0,1136,642,87,0,0,0,0,779,0,0,620,0,0,0,494,0,282,470,0,441,0,0,341,0,372,0,0,0,246,240,0,0,0,0,0,0,71,0,0,0,33,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
Sum total,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245,7245
Percent,0,0,9.799861974,0,0,0,0,0,3.133195307,0,15.67977916,8.861283644,1.200828157,0,0,0,0,10.75224293,0,0,8.557625949,0,0,0,6.818495514,0,3.892339545,6.487232574,0,6.086956522,0,0,4.706694272,0,5.134575569,0,0,0,3.395445135,3.3126294,0,0,0,0,0,0,0.979986197,0,0,0,0.455486542,0,0.510697032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234644582,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bacterial genera 2021 Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Pediococcus,Enterobacteriaceae Family,Rhodococcus,Klebsiella,Komagataeibacter,Acetobacter,Ammoniphilus,Gluconobacter,Paenibacillus,Yersinia,Bacillus,Solirubrobacteraceae Family,Brevundimonas,Enterococcus,Xanthobacteraceae Family,Pedobacter,Anoxybacillus,Rhizobium,Bosea,Aureimonas,Actinotignum,Pirellulaceae Family,Devosiaceae Family,Aeromicrobium,Sandaracinus,Geobacillus,Bradyrhizobium,Variovorax,Phyllobacterium,Brevibacillus,Lautropia,Curtobacterium,Staphylococcus,Shinella,Pseudomonas,Weissella,Orbaceae Family,Blastococcus,Brevibacterium,Micrococcus,Pseudorhodoplanes,Lactococcus,Pantoea,Burkholderiaceae Family,Streptococcus,Acinetobacter,Nocardioides,Mesorhizobium,Lawsonella,Methylobacterium,Chungangia,Bacillaceae Family,Lactobacillus,Prosthecobacter,Dokdonella,Moheibacter,Pseudoxanthomonas,Sphingomonas,Peredibacter,Cloacibacterium,Bifidobacterium,Anaerococcus,Tepidimonas,Sphingobacterium,Tatumella,Pseudochrobactrum,Acetobacteraceae Family,Listeria,Wolbachia,Cutibacterium,Ornithinimicrobium,Aquabacterium,Lachnoclostridium_5,NS9_marine_group Family,Rhodopseudomonas,Verticia,Luteibacter
OBYR21Ab,4518,2461,19,365,0,5,16,0,0,666,0,31,0,0,0,7,0,9,0,0,0,0,0,0,0,0,29,0,0,0,0,38,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sum total,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236,8236
Percent,54.85672657,29.8810102,0.230694512,4.431762992,0,0.060709082,0.194269063,0,0,8.086449733,0,0.376396309,0,0,0,0.084992715,0,0.109276348,0,0,0,0,0,0,0,0,0.352112676,0,0,0,0,0.461389024,0.072850898,0,0.254978145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522098106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024283633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR21Bb,9016,4188,0,1247,0,21,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707,14707
Percent,61.30414089,28.47623581,0,8.478955599,0,0.142789148,0,0,0,1.006323519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047596383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543958659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBYR21Cb,9894,2293,50,111,69,141,0,0,12,422,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0
Sum total,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062,13062
Percent,75.74644006,17.55473894,0.382789772,0.849793294,0.528249885,1.079467157,0,0,0.091869545,3.230745674,0,0.061246363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038278977,0,0,0,0.107181136,0,0,0,0.08421375,0,0,0,0,0,0,0,0,0,0,0,0,0.122492727,0.122492727,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bacterial genera 2022 Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Pediococcus,Enterobacteriaceae Family,Rhodococcus,Klebsiella,Komagataeibacter,Acetobacter,Ammoniphilus,Gluconobacter,Paenibacillus,Yersinia,Bacillus,Solirubrobacteraceae Family,Brevundimonas,Enterococcus,Xanthobacteraceae Family,Pedobacter,Anoxybacillus,Rhizobium,Bosea,Aureimonas,Actinotignum,Pirellulaceae Family,Devosiaceae Family,Aeromicrobium,Sandaracinus,Geobacillus,Bradyrhizobium,Variovorax,Phyllobacterium,Brevibacillus,Lautropia,Curtobacterium,Staphylococcus,Shinella,Pseudomonas,Weissella,Orbaceae Family,Blastococcus,Brevibacterium,Micrococcus,Pseudorhodoplanes,Lactococcus,Pantoea,Burkholderiaceae Family,Streptococcus,Acinetobacter,Nocardioides,Mesorhizobium,Lawsonella,Methylobacterium,Chungangia,Bacillaceae Family,Lactobacillus,Prosthecobacter,Dokdonella,Moheibacter,Pseudoxanthomonas,Sphingomonas,Peredibacter,Cloacibacterium,Bifidobacterium,Anaerococcus,Tepidimonas,Sphingobacterium,Tatumella,Pseudochrobactrum,Acetobacteraceae Family,Listeria,Wolbachia,Cutibacterium,Ornithinimicrobium,Aquabacterium,Lachnoclostridium_5,NS9_marine_group Family,Rhodopseudomonas,Verticia,Luteibacter
NBFM12Ab,8132,2130,0,1541,0,433,5,702,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum total,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946,12946
Percent,62.81476904,16.45295844,0,11.90329059,0,3.344662444,0.038621968,5.422524332,0,0,0,0,0.023173181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBFM12Bb,9021,2672,4,1943,0,802,5,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
Sum total,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555
